measure,org_type,org_id,org_name,date,numerator,denominator,calc_value,percentile
glutenfree,ccg,01H,NHS NORTH CUMBRIA,2021-04-01,82.18822,327.11099999999993,0.25125483398601706,19.81132075471698
glutenfree,ccg,01T,NHS SOUTH SEFTON,2021-04-01,3530.3980500000002,156.66900000000004,22.53412002374432,87.73584905660378
glutenfree,ccg,07H,NHS WEST ESSEX,2021-04-01,4876.20656,321.56,15.164219927851722,62.264150943396224
glutenfree,ccg,02Q,NHS BASSETLAW,2021-04-01,2714.40885,120.25599999999999,22.571920319984034,88.67924528301887
glutenfree,ccg,01G,NHS SALFORD,2021-04-01,3901.092059999999,289.6069999999999,13.470296159968509,58.490566037735846
glutenfree,ccg,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,2021-04-01,146.04922,807.4119999999998,0.1808856197331722,14.150943396226415
glutenfree,ccg,15N,NHS DEVON,2021-04-01,3430.1433999999995,1256.751,2.729373917347191,32.075471698113205
glutenfree,ccg,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",2021-04-01,21920.84025,967.8560000000001,22.648865378734026,89.62264150943396
glutenfree,ccg,02T,NHS CALDERDALE,2021-04-01,4079.1868999999997,222.04799999999997,18.37074371307105,75.47169811320755
glutenfree,ccg,93C,NHS NORTH CENTRAL LONDON,2021-04-01,8863.778470000008,1696.7160000000001,5.224079026778794,43.39622641509434
glutenfree,ccg,10Q,NHS OXFORDSHIRE,2021-04-01,11814.66522,779.546,15.155828161519654,61.32075471698113
glutenfree,ccg,03K,NHS NORTH LINCOLNSHIRE,2021-04-01,4149.48554,182.54199999999994,22.731675669161074,90.56603773584906
glutenfree,ccg,04Y,NHS CANNOCK CHASE,2021-04-01,263.57215999999994,135.444,1.945986237854759,29.245283018867923
glutenfree,ccg,07K,NHS WEST SUFFOLK,2021-04-01,709.1836799999999,268.151,2.644717640433934,31.132075471698112
glutenfree,ccg,02G,NHS WEST LANCASHIRE,2021-04-01,50.333740000000006,114.01899999999999,0.44145046001105087,24.528301886792452
glutenfree,ccg,01E,NHS GREATER PRESTON,2021-04-01,2.80665,216.755,0.01294849023090586,6.60377358490566
